01/01/2018,,Hours,2018,2019,2020,2021,2022
07/01/2018 22:00,07/01/2018 23:00,167,48.94,51.7,32.98,57.18,189.08
07/01/2018 23:00,08/01/2018 00:00,168,41.92,49.47,28.72,52.01,190.02
08/01/2018 00:00,08/01/2018 01:00,169,42.81,49.4,23.9,56.62,273.81
08/01/2018 01:00,08/01/2018 02:00,170,42.34,48,22.56,55.52,239.98
08/01/2018 02:00,08/01/2018 03:00,171,42.5,44.94,20.35,51.59,240.78
08/01/2018 03:00,08/01/2018 04:00,172,42.05,41.98,17.3,48.75,196.44
08/01/2018 04:00,08/01/2018 05:00,173,42.01,42.24,16.88,46.98,153.81
08/01/2018 05:00,08/01/2018 06:00,174,41.42,49.93,20.88,46.94,139.21
08/01/2018 06:00,08/01/2018 07:00,175,42.11,62.05,27.42,52.45,133.14
08/01/2018 07:00,08/01/2018 08:00,176,48.59,61.74,35.07,58.56,143.49
08/01/2018 08:00,08/01/2018 09:00,177,46.56,62.62,36.91,78.17,157.51
08/01/2018 09:00,08/01/2018 10:00,178,55.44,66,36.41,89.73,178.49
08/01/2018 10:00,08/01/2018 11:00,179,59,62.61,38.02,92.94,183.41
08/01/2018 11:00,08/01/2018 12:00,180,55.1,62.43,38.03,93.85,192.59
08/01/2018 12:00,08/01/2018 13:00,181,54.14,62.45,38.67,93.14,201.95
08/01/2018 13:00,08/01/2018 14:00,182,55,60.16,39.07,89.77,220
08/01/2018 14:00,08/01/2018 15:00,183,55,58,40.02,87.49,194.18
08/01/2018 15:00,08/01/2018 16:00,184,52.66,55.12,40.27,84.22,190.05
08/01/2018 16:00,08/01/2018 17:00,185,46.82,73.4,41.63,81.74,170.34
08/01/2018 17:00,08/01/2018 18:00,186,59.18,81.6,51.57,163.3,235
08/01/2018 18:00,08/01/2018 19:00,187,75.72,73.47,58,670.39,257.13
08/01/2018 19:00,08/01/2018 20:00,188,63.92,74.4,49.6,167.31,234.42
08/01/2018 20:00,08/01/2018 21:00,189,60,62.56,44.2,90.73,197.06
08/01/2018 21:00,08/01/2018 22:00,190,46.55,58.8,39.32,75.68,164.19
08/01/2018 22:00,08/01/2018 23:00,191,53.06,49.11,36.29,62.11,196.19
08/01/2018 23:00,09/01/2018 00:00,192,42.39,48.53,34.5,59.44,123.5
09/01/2018 00:00,09/01/2018 01:00,193,43.52,50.02,37.79,80.53,172.01
09/01/2018 01:00,09/01/2018 02:00,194,44.15,53,34.29,70.08,182.88
09/01/2018 02:00,09/01/2018 03:00,195,44.82,51.22,28.47,67.81,154.84
09/01/2018 03:00,09/01/2018 04:00,196,43.06,49.2,26.42,59.58,132
09/01/2018 04:00,09/01/2018 05:00,197,43,49,23.86,54.97,100.28
09/01/2018 05:00,09/01/2018 06:00,198,43.03,51.7,23.92,53.98,96.91
09/01/2018 06:00,09/01/2018 07:00,199,44.3,67,29,53.95,99.9
09/01/2018 07:00,09/01/2018 08:00,200,55,61.67,38.25,55.1,101.53
09/01/2018 08:00,09/01/2018 09:00,201,53.52,61.79,39.37,54.07,87.45
09/01/2018 09:00,09/01/2018 10:00,202,53.44,63.07,39.67,60.01,140.23
09/01/2018 10:00,09/01/2018 11:00,203,54.99,61.52,37.98,65.38,176.96
09/01/2018 11:00,09/01/2018 12:00,204,55.66,59.66,34.98,63.61,165.56
09/01/2018 12:00,09/01/2018 13:00,205,54.8,59,32.71,69.35,164.29
09/01/2018 13:00,09/01/2018 14:00,206,54.51,57.7,35,70.15,194.24
09/01/2018 14:00,09/01/2018 15:00,207,50.74,57.6,36.58,60.07,188.81
09/01/2018 15:00,09/01/2018 16:00,208,49.6,59.53,38.91,58.01,173.39
09/01/2018 16:00,09/01/2018 17:00,209,50.11,74.97,37,57.55,157.46
09/01/2018 17:00,09/01/2018 18:00,210,69.98,80,50.09,77.47,234.45
09/01/2018 18:00,09/01/2018 19:00,211,82.99,74.49,59.5,126.92,259.99
09/01/2018 19:00,09/01/2018 20:00,212,66.02,70,48,82.44,232.21
09/01/2018 20:00,09/01/2018 21:00,213,56.1,60.63,43.03,79.57,198.86
09/01/2018 21:00,09/01/2018 22:00,214,51,57.33,37.54,64.07,197.77
09/01/2018 22:00,09/01/2018 23:00,215,54.1,50.23,37.5,60.06,178.39
09/01/2018 23:00,10/01/2018 00:00,216,44.15,53.93,34.5,58.62,181.59
10/01/2018 00:00,10/01/2018 01:00,217,44.56,54,36.58,72.85,167.97
10/01/2018 01:00,10/01/2018 02:00,218,46.45,52.93,35.75,59.99,166.37
10/01/2018 02:00,10/01/2018 03:00,219,45.99,50.7,34.77,59.96,160
10/01/2018 03:00,10/01/2018 04:00,220,44.6,50.7,27.97,64.9,147.06
10/01/2018 04:00,10/01/2018 05:00,221,44.42,50.7,24.38,54.89,146.44
10/01/2018 05:00,10/01/2018 06:00,222,44.48,55.42,24.58,46.15,157.38
10/01/2018 06:00,10/01/2018 07:00,223,45.81,63.76,27.9,56.32,169.96
10/01/2018 07:00,10/01/2018 08:00,224,57.55,71.29,38.06,59.91,218.22
10/01/2018 08:00,10/01/2018 09:00,225,53.46,71.83,41.44,54.96,230.72
10/01/2018 09:00,10/01/2018 10:00,226,61.5,71.27,47.09,65.04,245
10/01/2018 10:00,10/01/2018 11:00,227,58.82,70.26,47.7,63.58,243.54
10/01/2018 11:00,10/01/2018 12:00,228,55,67.09,44.2,70.01,240.4
10/01/2018 12:00,10/01/2018 13:00,229,52,67.6,38.1,66.18,240.87
10/01/2018 13:00,10/01/2018 14:00,230,51,66.8,34.7,81.52,226.62
10/01/2018 14:00,10/01/2018 15:00,231,50,66.22,32.72,74.84,219.98
10/01/2018 15:00,10/01/2018 16:00,232,50.24,69.8,32.94,69.04,216.83
10/01/2018 16:00,10/01/2018 17:00,233,56.44,76.8,35.41,58.6,206.01
10/01/2018 17:00,10/01/2018 18:00,234,75.94,78.37,41.23,94.21,235.29
10/01/2018 18:00,10/01/2018 19:00,235,101.79,71.94,43.81,151.48,233.87
10/01/2018 19:00,10/01/2018 20:00,236,87.94,70.02,39.54,91.25,209.94
10/01/2018 20:00,10/01/2018 21:00,237,72.45,62.33,39.41,64.4,199.05
10/01/2018 21:00,10/01/2018 22:00,238,64.66,60.3,36.19,58.02,184.23
10/01/2018 22:00,10/01/2018 23:00,239,53.9,58,34.78,62.84,173.33
10/01/2018 23:00,11/01/2018 00:00,240,48,56.24,27.55,53.16,144.02
11/01/2018 00:00,11/01/2018 01:00,241,47.93,51.41,29.97,64.97,162.02
11/01/2018 01:00,11/01/2018 02:00,242,45.51,49.98,28.2,56.77,162.4
11/01/2018 02:00,11/01/2018 03:00,243,44.16,47.76,25.99,54.96,161.37
11/01/2018 03:00,11/01/2018 04:00,244,44.01,47.36,24,47.97,158.07
11/01/2018 04:00,11/01/2018 05:00,245,43.33,47.7,20.5,43.35,156.57
11/01/2018 05:00,11/01/2018 06:00,246,43.03,51.44,14.99,49.11,160.01
11/01/2018 06:00,11/01/2018 07:00,247,43.17,61.16,17.44,62.99,178.24
11/01/2018 07:00,11/01/2018 08:00,248,48.43,65.03,24.95,76.09,194.91
11/01/2018 08:00,11/01/2018 09:00,249,52.55,65.13,29.51,57.91,196.2
11/01/2018 09:00,11/01/2018 10:00,250,54.14,65.42,33.18,63.56,237.16
11/01/2018 10:00,11/01/2018 11:00,251,60.1,67.27,33.1,70.82,235
11/01/2018 11:00,11/01/2018 12:00,252,60.08,63.57,33.04,68.37,232.31
11/01/2018 12:00,11/01/2018 13:00,253,53.99,62.12,33.55,67.17,231.47
11/01/2018 13:00,11/01/2018 14:00,254,55.4,62.86,32.39,67.09,234.4
11/01/2018 14:00,11/01/2018 15:00,255,53.1,61.06,35.9,62.29,239.26
11/01/2018 15:00,11/01/2018 16:00,256,51.85,59.6,34.72,60.26,245.06
11/01/2018 16:00,11/01/2018 17:00,257,61,64,29.3,59.92,236.61
11/01/2018 17:00,11/01/2018 18:00,258,83.89,71.68,38.6,76.56,263
11/01/2018 18:00,11/01/2018 19:00,259,100,66,59.5,98.74,277.56
11/01/2018 19:00,11/01/2018 20:00,260,81,63.95,51.5,85.55,262.17
11/01/2018 20:00,11/01/2018 21:00,261,60.1,59.21,44.4,74.83,236.6
11/01/2018 21:00,11/01/2018 22:00,262,60.2,58.24,40,63.65,205
11/01/2018 22:00,11/01/2018 23:00,263,56.51,50.87,37.92,58.93,193.85
11/01/2018 23:00,12/01/2018 00:00,264,46.91,63.03,34.01,56.93,171.93
12/01/2018 00:00,12/01/2018 01:00,265,48.89,57.97,33.65,50.98,160.03
12/01/2018 01:00,12/01/2018 02:00,266,45.99,61.1,34.98,49.03,159.09
12/01/2018 02:00,12/01/2018 03:00,267,45.89,49.39,32.9,49.15,155.04
12/01/2018 03:00,12/01/2018 04:00,268,45.23,43.09,29.2,45.09,149.56
12/01/2018 04:00,12/01/2018 05:00,269,44.05,39.3,24.14,44.51,149.51
12/01/2018 05:00,12/01/2018 06:00,270,42.57,39.74,20.64,47.99,154.99
12/01/2018 06:00,12/01/2018 07:00,271,43.4,47.49,21.79,51.08,161.53
12/01/2018 07:00,12/01/2018 08:00,272,48.43,50.75,27.6,61.95,205.84
12/01/2018 08:00,12/01/2018 09:00,273,53.06,57.43,25.03,60.06,226.82
12/01/2018 09:00,12/01/2018 10:00,274,60.2,60.53,31.44,62.01,250.17
12/01/2018 10:00,12/01/2018 11:00,275,61.94,59.61,38,76.63,234.49
12/01/2018 11:00,12/01/2018 12:00,276,58.5,58.15,40.2,84.06,209.51
12/01/2018 12:00,12/01/2018 13:00,277,54.5,57.93,40.7,90,190.03
12/01/2018 13:00,12/01/2018 14:00,278,52.11,55.08,40,99.91,186.81
12/01/2018 14:00,12/01/2018 15:00,279,49.12,49.2,37.98,101.95,187.04
12/01/2018 15:00,12/01/2018 16:00,280,47,49.18,35.1,96.01,200.99
12/01/2018 16:00,12/01/2018 17:00,281,48.11,66.57,31.03,80.39,209.22
12/01/2018 17:00,12/01/2018 18:00,282,57.51,84.8,45,161.75,242.9
12/01/2018 18:00,12/01/2018 19:00,283,79.89,77.42,65,733.9,247.99
12/01/2018 19:00,12/01/2018 20:00,284,60.43,67.78,51.4,299.9,225.11
12/01/2018 20:00,12/01/2018 21:00,285,54.92,56.55,41,149.91,211.71
12/01/2018 21:00,12/01/2018 22:00,286,51.52,53.27,39.6,99.9,185.61
12/01/2018 22:00,12/01/2018 23:00,287,44.34,49.98,41,60.07,174.52
12/01/2018 23:00,13/01/2018 00:00,288,41.39,52.55,32.99,54.09,150.04
13/01/2018 00:00,13/01/2018 01:00,289,51,47.81,26.27,66.51,160.09
13/01/2018 01:00,13/01/2018 02:00,290,48.86,39.99,23.45,65.09,157.43
13/01/2018 02:00,13/01/2018 03:00,291,56.01,29,22.29,61.58,151.5
13/01/2018 03:00,13/01/2018 04:00,292,45.9,30,21.75,60.59,147.59
13/01/2018 04:00,13/01/2018 05:00,293,42.64,30,20.84,59.02,147.02
13/01/2018 05:00,13/01/2018 06:00,294,39.82,25.09,23,58.09,150.06
13/01/2018 06:00,13/01/2018 07:00,295,37,34.65,31.39,60.5,162.49
13/01/2018 07:00,13/01/2018 08:00,296,40.54,33.18,41,66.53,187.82
13/01/2018 08:00,13/01/2018 09:00,297,42.32,47.75,43.9,66.53,212.43
13/01/2018 09:00,13/01/2018 10:00,298,45,56.92,41.38,88.65,227.2
13/01/2018 10:00,13/01/2018 11:00,299,53.45,60.1,40.55,142.16,220.19
13/01/2018 11:00,13/01/2018 12:00,300,52.1,60.01,39.15,167.7,203.05
13/01/2018 12:00,13/01/2018 13:00,301,55.36,65,40.85,199.93,191.23
13/01/2018 13:00,13/01/2018 14:00,302,58,60.01,39.94,195.6,186.96
13/01/2018 14:00,13/01/2018 15:00,303,54.55,57,39.11,167.28,184.36
13/01/2018 15:00,13/01/2018 16:00,304,46.1,55.03,37.35,145.59,189.59
13/01/2018 16:00,13/01/2018 17:00,305,50,69.67,37.96,103.18,203
13/01/2018 17:00,13/01/2018 18:00,306,56,86,41.46,411.61,230.96
13/01/2018 18:00,13/01/2018 19:00,307,79.92,75.18,49.67,1499.62,248.48
13/01/2018 19:00,13/01/2018 20:00,308,68.89,64.91,40.67,694.54,240.1
13/01/2018 20:00,13/01/2018 21:00,309,49.42,63.9,40.9,175.19,226.01
13/01/2018 21:00,13/01/2018 22:00,310,56.9,56.98,36,99.99,183.99
13/01/2018 22:00,13/01/2018 23:00,311,52.02,51.97,26.75,60.52,179
13/01/2018 23:00,14/01/2018 00:00,312,48.55,43.8,23.25,54.98,153.46
14/01/2018 00:00,14/01/2018 01:00,313,54,50.31,20.41,70.39,139.9
14/01/2018 01:00,14/01/2018 02:00,314,48.12,50.1,16.35,67.6,139.96
14/01/2018 02:00,14/01/2018 03:00,315,49.95,50,12.85,66.81,140.12
14/01/2018 03:00,14/01/2018 04:00,316,48,50.2,7.86,62.09,138.99
14/01/2018 04:00,14/01/2018 05:00,317,44.92,54,7.25,57.51,139
14/01/2018 05:00,14/01/2018 06:00,318,41.06,59.92,14.48,54.53,140
14/01/2018 06:00,14/01/2018 07:00,319,38.02,60.79,23.8,56.03,141.35
14/01/2018 07:00,14/01/2018 08:00,320,39.95,58.13,30.75,65.04,181.69
14/01/2018 08:00,14/01/2018 09:00,321,40,61.05,34.24,58.17,224.63
14/01/2018 09:00,14/01/2018 10:00,322,48,61.01,34.95,65.59,239
14/01/2018 10:00,14/01/2018 11:00,323,47,67,35.2,68.52,273.35
